"","upper","Hummingbird","mean","lower"
"1",36.8,"Booted Racket-tail",18.3,6.2
"2",4.6,"Brown Inca",3.1,1.4
"3",21.9,"Buff-tailed Coronet",8.7,4.7
"4",7.2,"Collared Inca",3.3,1.4
"5",2.4,"Fawn-breasted Brilliant",0.8,0.1
"6",2.7,"Gorgeted Sunangel",1.9,1.4
"7",3.5,"Green-fronted Lancebill",1.4,0.3
"8",4.1,"Sparkling Violetear",1.2,0.1
"9",1.6,"Speckled Hummingbird",1,0.6
"10",17,"Stripe-throated Hermit",7,2.7
"11",20.9,"Tawny-bellied Hermit",12.1,5.8
"12",6.9,"Violet-tailed Sylph",4.6,3.1
"13",18.8,"White-whiskered Hermit",8.2,3.4
