"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-fronted Lancebill","Purple-bibbed Whitetip","Sparkling Violetear","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph"
"Besleria solanoides",1,0,0,0,0,0,0,1,0,1,0,0,1
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,0,0,1,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,0,1,0
"Gasteranthus quitensis",0,0,0,0,0,0,0,0,0,1,1,1,0
"Guzmania squarrosa",0,0,0,1,0,0,0,0,0,0,0,0,0
"Macleania bullata",0,1,0,1,0,0,1,0,0,0,0,1,0
"Macleania stricta",0,0,0,1,0,1,0,1,0,1,0,0,1
"Meriania tomentosa",0,0,1,0,0,1,0,0,0,0,0,0,1
"Mezobromelia capituligera",0,1,0,1,0,0,0,1,0,0,0,1,1
"Psammisia ecuadorensis",0,1,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,0,0,0,0,1,0,0,0,1,0,0,1
"Sarcopera anomala",1,0,0,0,1,0,0,0,1,0,0,0,0
"Tillandsia complanata",0,0,0,0,0,1,0,0,0,0,0,0,0
